"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Steven Duggar","SFG","25.8%","61.4%","41.1%","55.7%","83.2%","73.4%","43.0%","56.9%","10.9%","20.1%","31.0%","17719"
"Dom Nunez","COL","25.9%","61.9%","40.9%","51.8%","79.8%","69.5%","41.8%","60.1%","12.5%","19.9%","32.4%","15055"
"J.A. Happ","- - -","25.9%","53.1%","40.7%","42.9%","94.1%","79.2%","54.2%","66.7%","8.5%","28.8%","37.3%","7410"
"Drew Ellis","ARI","25.9%","67.5%","45.8%","58.3%","75.4%","70.4%","47.7%","57.8%","13.6%","17.8%","31.4%","19873"
"Edwin Rios","LAD","26.0%","70.2%","45.5%","58.8%","74.0%","69.2%","44.3%","63.3%","14.0%","18.3%","32.3%","18316"
"Ha-seong Kim","SDP","26.0%","64.7%","44.1%","69.9%","85.2%","80.5%","46.9%","68.5%","8.6%","21.6%","30.3%","27506"
"Brian Goodwin","CHW","26.0%","65.0%","42.1%","63.9%","82.9%","76.0%","41.2%","57.2%","10.1%","17.8%","27.9%","12858"
"Riley Adams","- - -","26.0%","60.7%","39.0%","44.3%","90.2%","71.0%","37.3%","63.3%","11.3%","21.5%","32.8%","19864"
"Carson Kelly","ARI","26.1%","63.0%","42.0%","61.0%","84.8%","76.4%","43.2%","55.7%","9.9%","20.0%","29.9%","13620"
"Trevor Bauer","LAD","26.1%","58.2%","41.9%","66.7%","76.9%","73.7%","49.3%","55.9%","11.0%","22.1%","33.1%","12703"
"Caleb Smith","ARI","26.1%","42.0%","34.4%","33.3%","85.7%","66.7%","52.1%","68.0%","11.5%","33.3%","44.8%","14875"
"Jake McCarthy","ARI","26.2%","70.3%","44.7%","39.5%","73.5%","61.9%","41.8%","54.3%","17.0%","14.5%","31.6%","21622"
"Josh Donaldson","MIN","26.3%","71.5%","45.1%","61.5%","81.5%","74.8%","41.7%","57.6%","11.4%","14.9%","26.3%","5038"
"Ian Happ","CHC","26.3%","68.7%","43.8%","52.6%","79.9%","70.3%","41.2%","58.3%","13.0%","17.0%","30.0%","17919"
"Gavin Lux","LAD","26.3%","72.2%","46.6%","57.5%","88.5%","78.7%","44.1%","57.2%","9.9%","16.3%","26.2%","19955"
"LaMonte Wade Jr.","SFG","26.4%","70.0%","45.6%","64.9%","90.0%","81.9%","44.0%","59.8%","8.2%","16.6%","24.9%","18126"
"Carlos Santana","KCR","26.5%","68.5%","43.4%","68.5%","85.8%","79.5%","40.2%","57.1%","8.9%","15.3%","24.2%","2396"
"Jacob Stallings","PIT","26.5%","68.1%","42.4%","59.4%","90.0%","78.2%","38.2%","60.2%","9.3%","18.6%","27.9%","13723"
"Matt Chapman","OAK","26.6%","69.3%","44.6%","61.7%","75.0%","70.4%","42.3%","59.8%","13.2%","17.0%","30.2%","16505"
"Nick Martini","CHC","26.6%","72.6%","46.6%","62.1%","91.8%","82.2%","43.5%","55.6%","8.3%","14.0%","22.3%","12005"
"D.J. Stewart","BAL","26.6%","73.8%","46.8%","51.0%","81.4%","71.5%","42.8%","60.7%","13.3%","13.4%","26.7%","17766"
"Justin Steele","CHC","26.7%","58.8%","43.8%","75.0%","90.0%","85.7%","53.1%","84.6%","6.3%","15.6%","21.9%","17312"
"Max Fried","ATL","26.7%","60.2%","44.6%","51.6%","77.5%","70.3%","53.4%","59.7%","13.3%","19.3%","32.5%","13743"
"Oscar Mercado","CLE","26.7%","73.1%","47.2%","57.8%","81.8%","74.2%","44.1%","63.4%","12.2%","14.3%","26.5%","16375"
"Austin Dean","STL","26.7%","63.8%","41.8%","51.9%","88.6%","74.6%","40.6%","57.9%","10.6%","19.4%","30.0%","18288"
"Cole Tucker","PIT","26.8%","71.9%","46.3%","52.6%","87.4%","75.9%","43.2%","60.3%","11.1%","15.2%","26.4%","17326"
"Nathaniel Lowe","TEX","26.9%","67.9%","44.7%","67.0%","85.4%","79.1%","43.4%","59.0%","9.3%","16.8%","26.1%","19566"
"Jake Cronenworth","SDP","26.9%","62.6%","42.7%","74.8%","94.1%","87.3%","44.3%","60.2%","5.4%","20.2%","25.6%","18036"
"Jake Rogers","DET","26.9%","65.5%","44.3%","49.4%","70.9%","63.7%","45.0%","66.9%","16.0%","19.1%","35.1%","19452"
"Max Stassi","LAA","27.0%","67.1%","44.3%","54.9%","79.8%","71.2%","43.1%","60.8%","12.8%","18.5%","31.3%","10059"
"Jorge Soler","- - -","27.0%","71.3%","44.4%","52.4%","84.8%","72.9%","39.3%","58.3%","12.1%","14.9%","26.9%","14221"
"Carlos Correa","HOU","27.0%","62.8%","42.1%","65.4%","89.4%","80.5%","42.1%","57.7%","8.2%","19.5%","27.7%","14162"
"Pablo Reyes","MIL","27.0%","60.7%","40.7%","71.9%","90.9%","83.4%","40.7%","59.8%","6.7%","20.8%","27.5%","16357"
"Max Moroff","STL","27.0%","68.8%","46.4%","30.0%","63.6%","53.1%","46.4%","50.0%","21.7%","18.8%","40.6%","14556"
"Aaron Judge","NYY","27.0%","67.5%","42.5%","56.7%","84.2%","73.4%","38.2%","59.4%","11.3%","17.0%","28.3%","15640"
"Lorenzo Cain","MIL","27.0%","67.1%","44.6%","58.1%","91.6%","80.2%","43.9%","59.8%","8.8%","17.3%","26.1%","9077"
"Jake Hager","- - -","27.1%","67.3%","41.8%","43.5%","78.8%","64.3%","36.6%","56.7%","14.9%","16.4%","31.3%","12198"
"George Springer","TOR","27.1%","71.6%","45.7%","57.4%","84.2%","75.0%","41.9%","60.8%","11.4%","14.4%","25.8%","12856"
"Garrett Hampson","COL","27.1%","64.6%","44.3%","56.8%","87.7%","77.5%","45.8%","60.5%","10.0%","19.6%","29.5%","19262"
"Anthony Rendon","LAA","27.2%","70.4%","46.5%","73.9%","90.0%","84.8%","44.8%","62.2%","7.1%","16.5%","23.5%","12861"
"Ben Gamel","- - -","27.2%","65.7%","44.1%","51.2%","87.6%","75.0%","43.9%","60.5%","11.0%","17.3%","28.3%","12160"
"Yoan Moncada","CHW","27.2%","65.5%","42.6%","57.6%","84.4%","74.1%","40.2%","55.5%","11.0%","17.7%","28.7%","17232"
"Buster Posey","SFG","27.2%","68.7%","44.5%","69.5%","82.5%","77.9%","41.7%","56.4%","9.8%","16.7%","26.6%","9166"
"Deven Marrero","MIA","27.3%","84.4%","48.3%","33.3%","92.6%","71.4%","36.8%","47.4%","13.8%","11.5%","25.3%","13325"
"Martin Maldonado","HOU","27.3%","62.4%","42.8%","54.6%","82.3%","72.4%","44.0%","62.9%","11.8%","20.5%","32.3%","6887"
"Austin Slater","SFG","27.3%","66.3%","45.0%","57.6%","78.8%","71.8%","45.5%","66.7%","12.7%","19.9%","32.7%","16153"
"Abraham Almonte","ATL","27.4%","64.8%","43.0%","68.0%","85.9%","79.3%","41.7%","62.9%","8.9%","18.1%","27.0%","5486"
"Bradley Zimmer","CLE","27.4%","67.3%","43.9%","44.8%","78.3%","66.1%","41.4%","62.6%","14.9%","17.4%","32.3%","16221"
"Chris Owings","COL","27.4%","71.6%","45.9%","45.2%","72.4%","62.9%","41.8%","58.0%","17.0%","17.5%","34.5%","10030"
"Jake Lamb","- - -","27.4%","66.9%","44.4%","60.7%","87.8%","78.2%","42.9%","62.4%","9.7%","17.7%","27.4%","13329"
"Josh Bell","WSN","27.4%","75.5%","46.7%","64.9%","84.2%","77.4%","40.1%","58.3%","10.5%","13.1%","23.6%","13145"
"Tom Murphy","SEA","27.4%","68.2%","44.3%","52.6%","78.0%","68.8%","41.3%","60.6%","13.8%","16.3%","30.2%","13499"
"Dylan Carlson","STL","27.5%","68.8%","44.9%","58.5%","82.9%","74.3%","42.1%","59.0%","11.5%","17.3%","28.9%","20126"
"Eugenio Suarez","CIN","27.5%","66.1%","42.7%","50.6%","85.4%","71.9%","39.6%","62.2%","12.0%","17.5%","29.5%","12552"
